Date,KO,PEP
2020-06-25,38.046714782714844,111.03546905517578
2020-06-26,36.89507293701172,108.93994903564453
2020-06-29,37.56405258178711,110.75662994384766
2020-06-30,37.835018157958984,111.75366973876953
2020-07-01,37.953575134277344,111.8381576538086
2020-07-02,38.00437927246094,112.25221252441406
2020-07-06,38.300758361816406,112.63243865966797
2020-07-07,38.2838249206543,112.86054992675781
2020-07-08,38.16526794433594,113.40979766845703
2020-07-09,37.18297576904297,112.13390350341797
2020-07-10,38.2330207824707,113.6125717163086
2020-07-13,38.31769943237305,113.9927978515625
2020-07-14,38.84271240234375,114.50823974609375
2020-07-15,39.29151916503906,112.96194458007812
2020-07-16,39.079811096191406,113.12251281738281
2020-07-17,39.647178649902344,113.78154754638672
2020-07-20,39.054405212402344,112.47189331054688
2020-07-21,39.96895980834961,113.58720397949219
2020-07-22,41.05284881591797,114.92223358154297
2020-07-23,40.88349533081055,115.82635498046875
2020-07-24,41.061336517333984,114.9645004272461
2020-07-27,41.05284881591797,116.32486724853516
2020-07-28,40.798824310302734,116.07984924316406
2020-07-29,40.663330078125,116.5445556640625
2020-07-30,40.38388442993164,116.34176635742188
2020-07-31,40.00282669067383,116.31641387939453
2020-08-03,39.20683288574219,115.50525665283203
2020-08-04,39.537086486816406,116.15589141845703
2020-08-05,39.98588943481445,115.12503051757812
2020-08-06,40.20606231689453,114.79549407958984
2020-08-07,40.47703552246094,115.53907012939453
2020-08-10,40.409297943115234,114.89686584472656
2020-08-11,40.587120056152344,114.17023468017578
2020-08-12,41.01051330566406,116.43472290039062
2020-08-13,40.96818542480469,116.68821716308594
2020-08-14,41.02745819091797,116.23192596435547
2020-08-17,40.82421875,116.5361328125
2020-08-18,41.002044677734375,116.6966552734375
2020-08-19,40.112911224365234,115.2940444946289
2020-08-20,40.095977783203125,115.52214050292969
2020-08-21,40.036685943603516,115.302490234375
2020-08-24,40.62099838256836,116.29951477050781
2020-08-25,40.57018280029297,116.01225280761719
2020-08-26,40.781883239746094,117.00084686279297
